,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,index,name,type,pokemon_species,pokemon_abilities,pokemon_weight,pokemon_height,pokemon_male,pokemon_female,pokemon_egg,kanto_number,joto_number,joto_h_number,hoenn_number,hoenn_oa_number,sinnoh_number,sinnoh_p_number,unova_number,unova_bw2_number,kalos_ce_number,kalos_co_number,kalos_m_number,alola_sm_number,alola_u_number,galar_number,galar_ia_number,galar_ct_number,paldea_number
1,32,Nidoran♂,"Poison,Normal",Poison Pin Pokémon,"Poison Point,Rivalry",9.0 kg,0.5 m,100,0,"Field,Monster",32,,,,,,,,,,107,,,,,,,
2,33,Nidorino,"Poison,Normal",Poison Pin Pokémon,"Poison Point,Rivalry",19.5kg,0.9 m,100,0,"Field,Monster",33,,,,,,,,,,108,,,,,,,
3,34,Nidoking,"Poison,Ground",Drill Pokémon,"Poison Point,Rivalry",62.0 kg,1.4 m,100,0,"Field,Monster",34,,,,,,,,,,109,,,,,,,
4,106,Hitmonlee,"Fighting,Fighting",Kicking Pokémon,"Limber,Reckless",49.8 kg,1.5 m,100,0,Human-Like,106,144,146,,,,,,,,,,,,,,,
5,107,Hitmonchan,"Fighting,Fighting",Punching Pokémon,"Keen Eye,Iron Fist",50.2 kg,1.4 m,100,0,Human-Like,107,145,147,,,,,,,,,,,,,,,
6,128,Tauros,"Normal,Fighting",Wild Bull Pokémon,"Intimidate,Anger Point",88.4 kg,1.4 m,100,0,"Field,Field",128,148,150,,,,,,,,125,,137,170,,116,,223
7,1,Bulbasaur,"Grass,Poison",Seed Pokémon,Overgrow,6.9 kg,0.7 m,87.5,12.5,"Grass,Monster",1,226,231,,,,,,,80,,,,,,68,,
8,2,Ivysaur,"Grass,Poison",Seed Pokémon,Overgrow,13.0 kg,1.0 m,87.5,12.5,"Grass,Monster",2,227,232,,,,,,,81,,,,,,69,,
9,3,Venusaur,"Grass,Poison",Seed Pokémon,Overgrow,100.0 kg,2.0 m,87.5,12.5,"Grass,Monster",3,228,233,,,,,,,82,,,,,,70,,
10,4,Charmander,"Fire,Normal",Lizard Pokémon,Blaze,8.5 kg,0.61 m,87.5,12.5,"Monster,Dragon",4,229,234,,,,,,,83,,,,,,,,
11,5,Charmeleon,"Fire,Normal",Flame Pokémon,Blaze,19.0 kg,1.1 m,87.5,12.5,"Monster,Dragon",5,230,235,,,,,,,84,,,,,,,,
12,6,Charizard,"Fire,Flying",Flame Pokémon,Blaze,90.5 kg,1.7 m,87.5,12.5,"Monster,Dragon",6,231,236,,,,,,,85,,,,,,,,
13,7,Squirtle,"Water,Water",Tiny Turtle Pokémon,Torrent,9.0 kg,0.5 m,87.5,12.5,"Monster,Water 1",7,232,237,,,,,,,86,,,,,,71,,
14,8,Wartortle,"Water,Water",Turtle Pokémon,Torrent,22.5 kg,1.0 m,87.5,12.5,"Monster,Water 1",8,233,238,,,,,,,87,8,,,,,72,,
15,9,Blastoise,"Water,Water",Shellfish Pokémon,Torrent,85.5 kg,1.6 m,87.5,12.5,"Monster,Water 1",9,234,239,,,,,,,88,,,,,,73,,
16,133,Eevee,"Normal,Fairy",Evolution Pokémon,"Run Away,Adaptability",6.5 kg,0.3 m,87.5,12.5,"Field,Field",133,180,184,,,,163,,91,77,,,123,153,,,,
17,134,Vaporeon,"Water,Water",Bubble Jet Pokémon,Water Absorb,63.9 lbs.,"3'03""",87.5,12.5,Field,134,181,185,,,,164,,92,,78,,124,154,,,,180
18,135,Jolteon,"Electric,Electric",Lightning Pokémon,Volt Absorb,24.5 kg,0.79 m,87.5,12.5,Field,135,182,186,,,,165,,93,,79,,125,155,,,,
19,138,Omanyte,"Rock,Water",Spiral Pokémon,"Swift Swim,Shell Armor",7.5 kg,0.4 m,87.5,12.5,"Water 1,Water 3",138,220,225,,,,,,,,,,,,,,,
20,139,Omastar,"Rock,Water",Spiral Pokémon,"Swift Swim,Shell Armor",35.0 kg,1.0 m,87.5,12.5,"Water 1,Water 3",139,221,226,,,,,,,,,,,,,,,
21,140,Kabuto,"Rock,Water",Shellfish Pokémon,"Swift Swim,Battle Armor",11.5 kg,0.51 m,87.5,12.5,"Water 1,Water 3",140,222,227,,,,,,,,,,,,,,,
22,141,Kabutops,"Rock,Water",Shellfish Pokémon,"Swift Swim,Battle Armor",40.5 kg,1.3 m,87.5,12.5,"Water 1,Water 3",141,223,228,,,,,,,,,,,,,,,
23,142,Aerodactyl,"Rock,Flying",Fossil Pokémon,"Rock Head,Pressure",59.0 kg,1.8 m,87.5,12.5,"Flying,Flying",142,224,229,,,,,,,,68,,284,382,,,,
24,143,Snorlax,"Normal,Normal",Sleeping Pokémon,"Immunity,Thick Fat",460.0 kg,2.11 m,87.5,12.5,Monster,143,225,230,,,113,,,,139,,,36,43,,,,
