index,name,type,pokemon_species,pokemon_abilities,pokemon_weight,pokemon_height,pokemon_male,pokemon_female,pokemon_egg,kanto_number,joto_number,joto_h_number,hoenn_number,hoenn_oa_number,sinnoh_number,sinnoh_p_number,unova_number,unova_bw2_number,kalos_ce_number,kalos_co_number,kalos_m_number,alola_sm_number,alola_u_number,galar_number,galar_ia_number,galar_ct_number,paldea_number
722,Rowlet,"Grass,Flying",Grass Quill Pokémon,Overgrow,1.5 kg,0.3 m,87.5,12.5% ♀,Flying,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
723,Dartrix,"Grass,Flying",Blade Quill Pokémon,Overgrow,16.0 kg,0.71 m,87.5,12.5% ♀,Flying,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
724,Decidueye,"Grass,Ghost",Arrow Quill Pokémon,Overgrow,36.6 kg,1.6 m,87.5,12.5% ♀,"Flying,Flying",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
725,Litten,"fire,Normal",Fire Cat Pokémon,Blaze,4.3 kg,0.4 m,87.5,12.5% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
726,Torracat,"Fire,Normal",Fire Cat Pokémon,Blaze,25.0 kg,0.71 m,87.5,12.5% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
727,Incineroar,"fire,dark",Heel Pokémon,Blaze,83.0 kg,1.8 m,87.5,12.5% ♀,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
728,Popplio,"Water,Normal",Sea Lion Pokémon,Torrent,7.5 kg,0.4 m,87.5,12.5% ♀,"Water 1,Field",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
729,Brionne,"Water,Normal",Pop Star Pokémon,Torrent,17.5 kg,0.6 m,87.5,12.5,"Water 1,Field",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
730,Primarina,"Water,Fairy",Soloist Pokémon,Torrent,44.0 kg,1.8 m,87.5,12.5% ♀,"Water 1,Field",N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
731,Pikipek,"Normal,Flying",Woodpecker Pokémon,"Keen Eye,Skill Link",1.2 kg,0.3 m,50,50,Flying,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
732,Trumbeak,"Normal,Flying",Bugle Beak Pokémon,"Keen Eye,Skill Link",14.8 kg,0.6 m,50,50,Flying,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
733,Toucannon,"Normal,Flying",Cannon Pokémon,"Keen Eye,Skill Link",26.0 kg,1.1 m,50,50,Flying,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
734,Yungoos,"Normal,Normal",Loitering Pokémon,"Stakeout,Strong Jaw",6.0 kg,0.4 m,50,50,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
735,Gumshoos,"Normal,Normal",Stakeout Pokémon,"Stakeout,Strong Jaw",14.2 kg,0.7 m,50,50,Field,N/A,,,,,N/A,,N/A,,,,,,,,,,N/A
736,Grubbin,"Bug,Normal",Larva Pokémon,Swarm,4.4 kg,0.4 m,50,50,Bug,N/A,,,,,N/A,,N/A,,,,,27,34,,,,N/A
737,Charjabug,"Bug,Electric",Battery Pokémon,Battery,10.5 kg,0.5 m,50,50,Bug,N/A,,,,,N/A,,N/A,,,,,28,35,,,,N/A
738,Vikavolt,"Bug,Electric",Stag Beetle Pokémon,Levitate,55.0 kg,1.7 m,50,50,Bug,N/A,,,,,N/A,,N/A,,,,,29,36,,,,N/A
739,Crabrawler,"Fighting,Water",Boxing Pokémon,"Hyper Cutter,Iron Fist",7.0 kg,0.6 m,50,50,Water 3,N/A,,,,,N/A,,N/A,,,,,59,71,,,,N/A
740,Crabominable,"fighting,ice",Wooly Crab Pokémon,"Hyper Cutter,Iron Fist",180.0 kg,1.7 m,50,50,Water 3,N/A,,,,,N/A,,N/A,,,,,60,72,,,,N/A
741,Oricorio,"Flying,Normal",Dancing Pokémon,Dancer,3.4 kg,0.6 m,25,75,"Flying,Flying",N/A,,,,,N/A,,N/A,,,,,82,97,,,,N/A
742,Cutiefly,"Bug,Fairy",Bee Fly Pokémon,"Honey Gather,Shield Dust",0.2 kg,0.1 m,50,50,"Bug,Fairy",N/A,,,,,N/A,,N/A,,,,,83,98,,,,N/A
